,Decibels,Location,Latitude,Longitude,Volume Category
99,90.316498,"[u'-73.969538,', u'40.691459,']",40.69145,-73.969538,Loud: > 90 decibles
100,88.989777,"[u'-73.969588,', u'40.691814,']",40.69181,-73.969588,Moderate: 85 to 90 decibles
101,89.246796,"[u'-73.969655,', u'40.692128,']",40.69212,-73.969655,Moderate: 85 to 90 decibles
102,90.585434,"[u'-73.969777,', u'40.692525,']",40.69252,-73.969777,Loud: > 90 decibles
103,90.974731,"[u'-73.969864,', u'40.693118,']",40.69311,-73.969864,Loud: > 90 decibles
104,90.110283,"[u'-73.969961,', u'40.693736,']",40.69373,-73.969961,Loud: > 90 decibles
105,92.590714,"[u'-73.970071,', u'40.694231,']",40.69423,-73.970071,Loud: > 90 decibles
106,92.167992,"[u'-73.970206,', u'40.694957,']",40.69495,-73.970206,Loud: > 90 decibles
107,91.357185,"[u'-73.970296,', u'40.695438,']",40.69543,-73.970296,Loud: > 90 decibles
108,91.337952,"[u'-73.970378,', u'40.695723,']",40.69572,-73.970378,Loud: > 90 decibles
109,88.208755,"[u'-73.970374,', u'40.695752,']",40.69575,-73.970374,Moderate: 85 to 90 decibles
110,88.733932,"[u'-73.970374,', u'40.695752,']",40.69575,-73.970374,Moderate: 85 to 90 decibles
111,88.908569,"[u'-73.970374,', u'40.695752,']",40.69575,-73.970374,Moderate: 85 to 90 decibles
112,88.473534,"[u'-73.970361,', u'40.695771,']",40.69577,-73.970361,Moderate: 85 to 90 decibles
113,94.289551,"[u'-73.970419,', u'40.695915,']",40.69591,-73.970419,Loud: > 90 decibles
114,92.1035,"[u'-73.970571,', u'40.696746,']",40.69674,-73.970571,Loud: > 90 decibles
115,92.68486,"[u'-73.970699,', u'40.697514,']",40.69751,-73.970699,Loud: > 90 decibles
116,91.764641,"[u'-73.970813,', u'40.697851,']",40.69785,-73.970813,Loud: > 90 decibles
117,86.399582,"[u'-73.970791,', u'40.697854,']",40.69785,-73.970791,Moderate: 85 to 90 decibles
118,85.222511,"[u'-73.970745,', u'40.697818,']",40.69781,-73.970745,Moderate: 85 to 90 decibles
119,85.21566,"[u'-73.970728,', u'40.697776,']",40.69777,-73.970728,Moderate: 85 to 90 decibles
120,88.806274,"[u'-73.9709,', u'40.697894,']",40.69789,"-73.9709,",Moderate: 85 to 90 decibles
121,92.730171,"[u'-73.971496,', u'40.69794,']",40.69794,-73.971496,Loud: > 90 decibles
122,92.487434,"[u'-73.972161,', u'40.698001,']",40.69800,-73.972161,Loud: > 90 decibles
123,92.197266,"[u'-73.97329,', u'40.698085,']",40.69808,"-73.97329,",Loud: > 90 decibles
124,91.027664,"[u'-73.973949,', u'40.698053,']",40.69805,-73.973949,Loud: > 90 decibles
125,92.068649,"[u'-73.974941,', u'40.698181,']",40.69818,-73.974941,Loud: > 90 decibles
126,90.088379,"[u'-73.975603,', u'40.698146,']",40.69814,-73.975603,Loud: > 90 decibles
127,93.127388,"[u'-73.976454,', u'40.698117,']",40.69811,-73.976454,Loud: > 90 decibles
128,91.901108,"[u'-73.977176,', u'40.69817,']",40.69817,-73.977176,Loud: > 90 decibles
129,90.824081,"[u'-73.977914,', u'40.698203,']",40.69820,-73.977914,Loud: > 90 decibles
130,94.639832,"[u'-73.97866,', u'40.698223,']",40.69822,"-73.97866,",Loud: > 90 decibles
131,90.005638,"[u'-73.979497,', u'40.698247,']",40.69824,-73.979497,Loud: > 90 decibles
132,86.081642,"[u'-73.980164,', u'40.698313,']",40.69831,-73.980164,Moderate: 85 to 90 decibles
133,90.300781,"[u'-73.980554,', u'40.698388,']",40.69838,-73.980554,Loud: > 90 decibles
134,90.506119,"[u'-73.980501,', u'40.698851,']",40.69885,-73.980501,Loud: > 90 decibles
135,90.7827,"[u'-73.980535,', u'40.699187,']",40.69918,-73.980535,Loud: > 90 decibles
136,90.020988,"[u'-73.98061,', u'40.6996,']","40.6996,","-73.98061,",Loud: > 90 decibles
137,87.15332,"[u'-73.980863,', u'40.699705,']",40.69970,-73.980863,Moderate: 85 to 90 decibles
138,88.386604,"[u'-73.982256,', u'40.699777,']",40.69977,-73.982256,Moderate: 85 to 90 decibles
139,88.10318,"[u'-73.98274,', u'40.699807,']",40.69980,"-73.98274,",Moderate: 85 to 90 decibles
140,90.321442,"[u'-73.983276,', u'40.699802,']",40.69980,-73.983276,Loud: > 90 decibles
141,90.204086,"[u'-73.983714,', u'40.699842,']",40.69984,-73.983714,Loud: > 90 decibles
142,89.826408,"[u'-73.984869,', u'40.699976,']",40.69997,-73.984869,Moderate: 85 to 90 decibles
143,90.313538,"[u'-73.985154,', u'40.699964,']",40.69996,-73.985154,Loud: > 90 decibles
144,90.850891,"[u'-73.985486,', u'40.699999,']",40.69999,-73.985486,Loud: > 90 decibles
145,92.313446,"[u'-73.985908,', u'40.700014,']",40.70001,-73.985908,Loud: > 90 decibles
146,93.870796,"[u'-73.986231,', u'40.700009,']",40.70000,-73.986231,Loud: > 90 decibles
147,93.567734,"[u'-73.986218,', u'40.699943,']",40.69994,-73.986218,Loud: > 90 decibles
148,92.991753,"[u'-73.985751,', u'40.699864,']",40.69986,-73.985751,Loud: > 90 decibles
149,92.248772,"[u'-73.985221,', u'40.699518,']",40.69951,-73.985221,Loud: > 90 decibles
